Sex	Year of birth	Mean height (cm)	Mean height lower 95% uncertainty interval (cm)	Mean height upper 95% uncertainty interval (cm)
Men	1896	161.16	154.48	167.75
Men	1896	163.33	158.45	168.32
Men	1896	160.39	155.40	165.40
Men	1896	169.72	167.42	172.02
Men	1896	163.39	156.88	169.73
Men	1896	162.17	154.81	169.48
Men	1896	161.71	155.12	168.35
Men	1896	162.34	157.54	167.05
Men	1896	161.85	155.99	168.02
Men	1896	168.95	166.94	170.94
Men	1896	168.03	165.48	170.56
Men	1896	161.67	155.87	168.01
Men	1896	161.73	155.17	168.36
Men	1896	156.71	152.45	160.91
Men	1896	158.58	154.14	162.80
Men	1896	164.85	160.58	169.14
Men	1896	167.73	160.85	174.73
Men	1896	167.20	165.20	169.30
Men	1896	158.13	153.22	162.94
Men	1896	162.51	157.09	168.02
Men	1896	161.75	155.05	168.38
Men	1896	161.27	156.50	166.06
Men	1896	156.32	150.28	162.36
Men	1896	168.42	163.66	173.12
Men	1896	166.19	160.58	171.85
Men	1896	163.21	160.80	165.66
Men	1896	155.79	148.98	162.19
Men	1896	166.46	160.01	172.95
Men	1896	163.49	157.93	168.86
Men	1896	161.59	154.87	168.58
Men	1896	164.86	159.42	170.08
Men	1896	154.88	150.24	159.61
Men	1896	163.51	158.85	168.05
Men	1896	170.72	167.83	173.77
Men	1896	161.36	155.52	167.25
Men	1896	164.89	159.17	170.46
Men	1896	160.69	157.30	164.15
Men	1896	160.97	159.20	162.74
Men	1896	159.71	156.92	162.49
Men	1896	157.30	152.37	162.25
Men	1896	159.72	154.36	164.93
Men	1896	161.88	157.42	166.43
Men	1896	169.45	164.86	174.06
Men	1896	157.68	153.73	161.71
Men	1896	162.64	157.74	167.66
Men	1896	168.13	163.64	172.53
Men	1896	159.88	155.67	164.05
Men	1896	162.73	157.13	168.27
Men	1896	168.00	164.04	171.91
Men	1896	169.97	166.71	173.12
Men	1896	161.51	154.77	168.24
Men	1896	164.47	159.32	169.46
Men	1896	160.26	155.27	165.25
Men	1896	161.84	156.11	167.26
Men	1896	155.63	150.06	161.55
Men	1896	158.64	155.14	162.20
Men	1896	158.47	153.18	163.49
Men	1896	162.12	154.89	169.23
Men	1896	163.79	158.52	169.22
Men	1896	170.87	167.19	174.59
Men	1896	161.28	156.00	166.71
Men	1896	168.60	164.21	173.15
Men	1896	167.74	165.58	169.92
Men	1896	166.41	163.05	169.67
Men	1896	170.04	165.67	174.54
Men	1896	162.68	156.88	168.33
Men	1896	160.71	155.29	166.27
Men	1896	164.41	158.65	170.39
Men	1896	167.16	164.49	169.88
Men	1896	162.37	157.52	167.11
Men	1896	162.52	159.03	166.07
Men	1896	159.46	155.41	163.39
Men	1896	164.52	159.26	169.58
Men	1896	153.88	148.82	158.93
Men	1896	163.36	157.90	168.82
Men	1896	162.85	156.09	169.73
Men	1896	159.91	154.56	165.22
Men	1896	161.69	155.05	168.33
Men	1896	158.37	153.44	163.41
Men	1896	166.31	163.76	168.82
Men	1896	170.54	167.09	174.00
Men	1896	161.96	160.25	163.61
Men	1896	154.65	151.64	157.66
Men	1896	157.06	153.93	160.21
Men	1896	159.26	152.71	165.55
Men	1896	166.36	162.42	170.28
Men	1896	163.40	159.93	166.80
Men	1896	164.71	163.00	166.39
Men	1896	163.06	158.36	167.93
Men	1896	156.17	155.33	157.02
Men	1896	158.89	154.82	162.99
Men	1896	161.23	153.97	168.87
Men	1896	165.72	159.97	171.28
Men	1896	166.84	164.90	168.74
Men	1896	160.51	155.84	165.11
Men	1896	160.25	154.13	166.35
Men	1896	152.88	147.87	157.90
Men	1896	169.38	164.68	173.96
Men	1896	160.71	156.39	164.87
Men	1896	161.32	155.62	167.13
Men	1896	158.67	152.99	164.23
Men	1896	161.26	156.44	166.03
Men	1896	168.93	165.19	172.60
Men	1896	167.33	163.17	171.71
Men	1896	166.51	160.17	173.13
Men	1896	158.68	153.01	164.11
Men	1896	159.21	153.87	164.44
Men	1896	157.57	154.07	161.09
Men	1896	155.83	150.58	160.84
Men	1896	165.09	159.50	170.72
Men	1896	161.89	157.58	166.32
Men	1896	162.29	157.78	167.01
Men	1896	161.52	155.77	166.99
Men	1896	160.63	157.08	164.27
Men	1896	156.75	153.39	160.04
Men	1896	164.66	160.05	169.42
Men	1896	164.63	159.75	169.54
Men	1896	159.10	153.20	165.00
Men	1896	166.46	160.07	172.83
Men	1896	159.21	152.78	165.47
Men	1896	159.12	153.99	164.33
Men	1896	157.31	152.61	161.91
Men	1896	164.20	158.78	169.79
Men	1896	164.81	162.81	166.79
Men	1896	157.55	153.18	161.81
Men	1896	169.43	167.72	171.08
Men	1896	167.48	165.00	170.08
Men	1896	157.19	152.13	162.20
Men	1896	163.90	158.64	169.02
Men	1896	161.05	156.67	165.33
Men	1896	168.60	164.39	172.74
Men	1896	160.58	153.72	167.42
Men	1896	171.24	170.49	171.98
Men	1896	160.86	156.13	165.59
Men	1896	155.75	151.37	160.09
Men	1896	165.68	162.76	168.61
Men	1896	164.14	159.58	168.80
Men	1896	156.98	151.96	161.98
Men	1896	159.29	154.82	164.00
Men	1896	162.04	155.15	168.85
Men	1896	154.93	150.46	159.31
Men	1896	154.73	149.50	159.87
Men	1896	163.66	160.31	167.04
Men	1896	158.96	155.14	162.78
Men	1896	160.50	156.40	164.52
Men	1896	159.22	154.37	163.96
Men	1896	163.82	159.06	168.54
Men	1896	166.97	164.49	169.45
Men	1896	159.95	154.24	165.58
Men	1896	160.30	154.89	165.91
Men	1896	162.01	156.79	167.33
Men	1896	161.77	155.28	168.33
Men	1896	169.14	165.78	172.44
Men	1896	162.19	156.86	167.28
Men	1896	158.13	154.26	161.89
Men	1896	166.67	161.28	172.01
Men	1896	167.44	163.87	171.03
Men	1896	165.48	160.72	170.38
Men	1896	160.56	155.10	166.16
Men	1896	162.86	160.19	165.55
Men	1896	168.34	163.67	173.13
Men	1896	167.38	161.93	172.99
Men	1896	160.85	156.31	165.27
Men	1896	161.45	154.52	168.27
Men	1896	165.26	161.28	169.23
Men	1896	159.75	156.88	162.53
Men	1896	162.29	159.40	165.15
Men	1896	156.92	152.35	161.40
Men	1896	161.51	154.56	168.48
Men	1896	161.72	155.18	168.44
Men	1896	163.22	157.63	168.72
Men	1896	171.90	169.49	174.24
Men	1896	167.53	165.07	169.90
Men	1896	159.24	152.76	165.80
Men	1896	161.31	158.53	163.98
Men	1896	161.39	154.19	168.76
Men	1896	160.79	155.64	165.94
Men	1896	158.46	155.75	161.17
Men	1896	153.03	148.33	157.96
Men	1896	162.79	157.61	167.95
Men	1896	168.15	163.37	172.89
Men	1896	170.41	165.61	175.06
Men	1896	163.90	158.71	168.99
Men	1896	164.07	160.41	167.76
Men	1896	160.32	157.32	163.24
Men	1896	161.70	155.84	167.72
Men	1896	165.36	161.44	169.24
Men	1896	162.18	156.64	167.84
Men	1896	167.70	161.01	174.37
Men	1896	159.30	152.83	165.63
Men	1896	166.87	165.09	168.70
Men	1896	171.08	169.89	172.26
Men	1896	163.81	159.49	168.10
Men	1896	161.09	155.24	167.41
Men	1896	163.59	158.72	168.38
Men	1896	159.96	154.86	165.04
Men	1896	155.30	152.54	158.03
Men	1896	154.50	150.29	158.88
Men	1896	162.21	156.90	167.71
Men	1896	164.78	159.28	170.25
Women	1896	149.19	144.10	154.30
Women	1896	150.20	145.41	155.29
Women	1896	151.86	147.06	156.61
Women	1896	158.20	156.00	160.40
Women	1896	152.44	146.19	158.72
Women	1896	152.60	146.09	159.51
Women	1896	150.61	144.38	156.99
Women	1896	150.59	146.05	154.92
Women	1896	149.63	144.08	155.27
Women	1896	155.49	153.57	157.35
Women	1896	157.55	155.04	159.98
Women	1896	149.93	144.51	155.46
Women	1896	150.56	144.39	157.01
Women	1896	149.66	145.68	153.70
Women	1896	141.48	137.55	145.40
Women	1896	152.06	148.27	155.87
Women	1896	153.97	147.71	160.41
Women	1896	155.42	153.57	157.30
Women	1896	146.18	141.76	150.54
Women	1896	153.16	148.22	158.13
Women	1896	150.52	144.14	156.76
Women	1896	146.97	142.48	151.44
Women	1896	143.19	138.09	148.49
Women	1896	153.84	149.43	158.24
Women	1896	156.03	150.83	161.25
Women	1896	150.17	147.98	152.36
Women	1896	145.74	139.73	151.96
Women	1896	152.19	145.99	158.27
Women	1896	156.17	151.01	161.43
Women	1896	151.14	145.89	156.41
Women	1896	154.64	149.53	159.69
Women	1896	146.23	141.49	150.96
Women	1896	153.80	150.17	157.39
Women	1896	157.61	154.98	160.28
Women	1896	152.10	146.68	157.39
Women	1896	156.69	151.52	161.90
Women	1896	147.59	144.65	150.63
Women	1896	150.16	148.67	151.67
Women	1896	146.03	143.62	148.38
Women	1896	144.02	139.50	148.50
Women	1896	150.54	145.38	155.61
Women	1896	152.51	148.53	156.34
Women	1896	156.15	151.66	160.65
Women	1896	142.73	139.19	146.30
Women	1896	153.52	148.49	158.49
Women	1896	150.08	146.24	153.95
Women	1896	149.25	145.56	152.86
Women	1896	152.08	146.43	157.66
Women	1896	152.76	149.13	156.39
Women	1896	157.12	154.05	160.28
Women	1896	151.79	145.53	158.47
Women	1896	152.81	147.99	157.84
Women	1896	148.92	143.97	153.81
Women	1896	151.00	145.96	155.87
Women	1896	143.00	137.81	148.32
Women	1896	148.72	145.38	151.93
Women	1896	141.21	136.98	145.58
Women	1896	152.61	145.96	159.38
Women	1896	152.11	147.30	157.08
Women	1896	156.47	153.27	159.66
Women	1896	152.17	147.21	157.14
Women	1896	153.47	149.19	157.65
Women	1896	153.93	151.38	156.51
Women	1896	155.34	152.36	158.34
Women	1896	156.30	151.86	160.86
Women	1896	152.92	147.68	158.35
Women	1896	155.52	150.26	160.76
Women	1896	153.61	148.34	159.17
Women	1896	155.99	153.45	158.46
Women	1896	153.31	149.19	157.35
Women	1896	150.57	147.46	153.69
Women	1896	147.04	143.23	150.85
Women	1896	153.80	148.90	158.84
Women	1896	140.29	135.81	144.84
Women	1896	153.62	148.40	158.67
Women	1896	152.73	147.35	157.89
Women	1896	148.66	143.48	153.81
Women	1896	149.73	144.82	154.84
Women	1896	143.52	139.24	147.93
Women	1896	153.25	150.97	155.54
Women	1896	158.55	155.38	161.83
Women	1896	147.97	146.37	149.64
Women	1896	144.70	142.18	147.25
Women	1896	148.54	145.53	151.56
Women	1896	149.68	143.39	156.03
Women	1896	153.95	150.52	157.34
Women	1896	152.00	148.91	155.10
Women	1896	153.50	151.93	155.06
Women	1896	152.26	147.77	156.68
Women	1896	142.29	141.43	143.13
Women	1896	150.20	145.93	154.53
Women	1896	151.13	145.84	156.77
Women	1896	155.90	151.15	160.93
Women	1896	151.74	149.65	153.82
Women	1896	150.26	145.81	154.72
Women	1896	150.18	144.73	155.72
Women	1896	144.69	139.71	149.68
Women	1896	155.51	151.18	160.06
Women	1896	149.61	145.29	153.91
Women	1896	153.06	147.67	158.54
Women	1896	151.62	146.35	156.98
Women	1896	150.18	145.44	154.98
Women	1896	154.09	150.66	157.48
Women	1896	154.83	150.59	159.03
Women	1896	149.58	144.48	154.81
Women	1896	149.68	144.62	154.76
Women	1896	151.41	146.43	156.62
Women	1896	147.54	144.69	150.50
Women	1896	143.89	138.82	148.70
Women	1896	156.07	150.97	161.23
Women	1896	150.19	146.31	154.07
Women	1896	148.71	144.33	152.99
Women	1896	154.96	149.49	160.24
Women	1896	148.12	144.89	151.34
Women	1896	143.48	140.42	146.51
Women	1896	152.45	147.95	156.88
Women	1896	152.25	147.33	157.19
Women	1896	147.89	142.63	153.51
Women	1896	152.15	145.89	158.28
Women	1896	150.77	145.64	155.78
Women	1896	150.87	145.62	156.09
Women	1896	145.60	141.29	149.84
Women	1896	156.80	151.91	161.74
Women	1896	151.79	149.33	154.15
Women	1896	144.14	140.45	147.82
Women	1896	154.82	152.85	156.78
Women	1896	155.96	153.68	158.32
Women	1896	146.11	141.93	150.37
Women	1896	156.28	151.17	161.41
Women	1896	153.13	149.27	156.98
Women	1896	152.06	148.11	155.95
Women	1896	149.12	142.63	155.66
Women	1896	159.22	158.47	159.95
Women	1896	150.87	146.24	155.37
Women	1896	146.81	142.58	150.97
Women	1896	150.60	147.76	153.39
Women	1896	152.00	147.36	156.59
Women	1896	144.49	139.74	149.28
Women	1896	149.92	145.55	154.43
Women	1896	149.18	142.76	155.49
Women	1896	141.48	137.63	145.51
Women	1896	147.90	143.62	152.18
Women	1896	150.54	147.51	153.40
Women	1896	150.46	146.93	153.95
Women	1896	147.30	143.60	150.93
Women	1896	150.43	145.54	155.16
Women	1896	151.07	146.67	155.46
Women	1896	153.59	151.60	155.51
Women	1896	152.27	147.05	157.56
Women	1896	152.72	147.38	158.00
Women	1896	153.66	148.61	158.84
Women	1896	150.56	143.91	157.10
Women	1896	157.21	154.54	159.78
Women	1896	152.89	147.89	157.74
Women	1896	149.12	145.47	152.98
Women	1896	156.94	151.92	162.09
Women	1896	152.00	148.84	155.21
Women	1896	155.45	151.03	159.78
Women	1896	152.42	147.29	157.65
Women	1896	147.05	144.06	150.05
Women	1896	155.58	151.35	159.76
Women	1896	152.51	147.01	158.05
Women	1896	148.45	143.74	153.20
Women	1896	151.77	145.32	158.25
Women	1896	154.91	151.33	158.33
Women	1896	142.17	139.67	144.73
Women	1896	151.11	148.63	153.48
Women	1896	145.26	140.76	149.66
Women	1896	151.76	145.41	158.24
Women	1896	150.49	144.14	156.90
Women	1896	152.86	147.46	158.19
Women	1896	160.29	158.23	162.37
Women	1896	157.53	154.79	160.33
Women	1896	149.61	143.30	155.73
Women	1896	149.38	146.84	151.92
Women	1896	150.89	145.24	156.65
Women	1896	150.98	146.23	155.80
Women	1896	148.19	145.76	150.56
Women	1896	144.84	140.26	149.58
Women	1896	153.01	147.89	158.25
Women	1896	155.32	150.59	159.85
Women	1896	157.57	152.87	162.06
Women	1896	154.22	150.09	158.24
Women	1896	150.86	147.45	154.25
Women	1896	149.58	146.65	152.40
Women	1896	152.85	147.23	158.39
Women	1896	156.58	153.22	159.85
Women	1896	153.60	148.47	158.78
Women	1896	153.95	147.37	160.50
Women	1896	149.61	143.29	155.58
Women	1896	153.38	151.79	155.01
Women	1896	158.51	157.40	159.64
Women	1896	149.61	145.75	153.53
Women	1896	150.88	145.33	156.42
Women	1896	152.72	148.11	157.43
Women	1896	144.74	139.84	149.45
Women	1896	144.78	142.46	147.13
Women	1896	145.10	140.40	149.65
Women	1896	151.53	146.93	156.12
Women	1896	155.30	150.33	160.35
Men	1897	161.20	154.57	167.66
Men	1897	163.47	158.72	168.36
Men	1897	160.60	155.76	165.46
Men	1897	169.75	167.56	171.97
Men	1897	163.48	157.10	169.77
Men	1897	162.26	155.01	169.43
Men	1897	161.88	155.39	168.44
Men	1897	162.48	157.87	167.06
Men	1897	162.01	156.26	168.05
Men	1897	169.03	167.14	170.92
Men	1897	168.16	165.71	170.60
Men	1897	161.86	156.20	168.03
Men	1897	161.90	155.38	168.44
Men	1897	156.89	152.79	160.95
Men	1897	158.64	154.39	162.74
Men	1897	165.01	160.88	169.16
Men	1897	167.82	161.09	174.76
Men	1897	167.30	165.39	169.27
Men	1897	158.30	153.51	162.97
Men	1897	162.62	157.36	167.97
Men	1897	161.92	155.30	168.41
Men	1897	161.28	156.65	165.93
Men	1897	156.45	150.52	162.37
Men	1897	168.57	163.97	173.09
Men	1897	166.26	160.84	171.74
Men	1897	163.31	161.03	165.63
Men	1897	155.91	149.24	162.21
Men	1897	166.59	160.28	172.99
Men	1897	163.57	158.15	168.77
Men	1897	161.69	155.08	168.55
Men	1897	164.92	159.63	170.01
Men	1897	155.00	150.48	159.61
Men	1897	163.60	159.15	168.00
Men	1897	170.78	168.04	173.70
Men	1897	161.45	155.73	167.17
Men	1897	164.98	159.40	170.44
Men	1897	160.81	157.59	164.14
Men	1897	161.13	159.46	162.78
Men	1897	159.81	157.12	162.45
Men	1897	157.47	152.70	162.25
Men	1897	159.80	154.57	164.83
Men	1897	161.98	157.63	166.40
Men	1897	169.50	165.01	174.00
Men	1897	157.89	154.07	161.75
Men	1897	162.73	157.96	167.61
Men	1897	168.26	163.89	172.53
Men	1897	160.06	156.03	164.04
Men	1897	162.82	157.38	168.29
Men	1897	168.13	164.36	171.88
Men	1897	170.09	166.98	173.13
Men	1897	161.61	154.98	168.23
Men	1897	164.63	159.64	169.46
Men	1897	160.41	155.58	165.25
Men	1897	161.93	156.35	167.21
Men	1897	155.75	150.35	161.48
Men	1897	158.84	155.52	162.25
Men	1897	158.65	153.50	163.55
Men	1897	162.21	155.11	169.28
Men	1897	163.89	158.77	169.15
Men	1897	170.97	167.46	174.53
Men	1897	161.38	156.25	166.68
Men	1897	168.65	164.42	173.05
Men	1897	167.87	165.81	169.94
Men	1897	166.50	163.28	169.62
Men	1897	170.06	165.81	174.49
Men	1897	162.77	157.10	168.30
Men	1897	160.80	155.59	166.21
Men	1897	164.58	158.98	170.42
Men	1897	167.30	164.75	169.88
Men	1897	162.44	157.78	167.02
Men	1897	162.63	159.28	166.06
Men	1897	159.56	155.61	163.37
Men	1897	164.69	159.60	169.61
Men	1897	154.07	149.18	159.00
Men	1897	163.45	158.16	168.75
Men	1897	162.93	156.28	169.69
Men	1897	160.08	154.91	165.24
Men	1897	161.86	155.38	168.35
Men	1897	158.56	153.80	163.46
Men	1897	166.46	164.04	168.85
Men	1897	170.74	167.41	174.08
Men	1897	161.96	160.36	163.51
Men	1897	154.76	151.91	157.61
Men	1897	157.29	154.32	160.25
Men	1897	159.44	152.98	165.64
Men	1897	166.48	162.71	170.23
Men	1897	163.51	160.18	166.79
Men	1897	164.77	163.17	166.35
Men	1897	163.23	158.70	167.93
Men	1897	156.37	155.57	157.17
Men	1897	159.08	155.17	163.01
Men	1897	161.40	154.27	168.85
Men	1897	165.82	160.23	171.22
Men	1897	166.82	164.92	168.67
Men	1897	160.68	156.18	165.10
Men	1897	160.40	154.45	166.35
Men	1897	153.02	148.12	157.86
Men	1897	169.46	164.92	173.89
Men	1897	160.88	156.73	164.89
Men	1897	161.39	155.87	167.04
Men	1897	158.74	153.21	164.18
Men	1897	161.44	156.83	166.06
Men	1897	169.02	165.45	172.50
Men	1897	167.47	163.40	171.70
Men	1897	166.64	160.41	173.18
Men	1897	158.80	153.27	164.10
Men	1897	159.32	154.14	164.39
Men	1897	157.71	154.33	161.06
Men	1897	155.92	150.81	160.79
Men	1897	165.17	159.75	170.69
Men	1897	161.94	157.80	166.24
Men	1897	162.36	157.98	167.00
Men	1897	161.63	156.04	166.95
Men	1897	160.70	157.29	164.17
Men	1897	156.93	153.70	160.03
Men	1897	164.70	160.24	169.34
Men	1897	164.72	159.97	169.46
Men	1897	159.23	153.52	164.97
Men	1897	166.59	160.31	172.87
Men	1897	159.39	153.05	165.56
Men	1897	159.22	154.23	164.28
Men	1897	157.44	152.84	161.90
Men	1897	164.29	159.06	169.74
Men	1897	164.83	162.91	166.72
Men	1897	157.58	153.34	161.70
Men	1897	169.61	167.99	171.17
Men	1897	167.60	165.23	170.07
Men	1897	157.37	152.44	162.21
Men	1897	164.00	158.92	169.00
Men	1897	161.13	156.94	165.24
Men	1897	168.63	164.51	172.70
Men	1897	160.70	153.93	167.42
Men	1897	171.38	170.67	172.07
Men	1897	161.04	156.47	165.64
Men	1897	155.91	151.64	160.08
Men	1897	165.68	162.90	168.48
Men	1897	164.19	159.76	168.73
Men	1897	157.15	152.26	162.02
Men	1897	159.32	154.99	163.88
Men	1897	162.17	155.40	168.88
Men	1897	155.05	150.77	159.26
Men	1897	154.86	149.81	159.85
Men	1897	163.82	160.63	167.04
Men	1897	159.07	155.40	162.75
Men	1897	160.69	156.77	164.53
Men	1897	159.41	154.72	164.00
Men	1897	163.96	159.34	168.56
Men	1897	167.04	164.70	169.36
Men	1897	160.07	154.55	165.56
Men	1897	160.49	155.21	165.94
Men	1897	162.19	157.14	167.36
Men	1897	161.94	155.52	168.46
Men	1897	169.14	165.94	172.32
Men	1897	162.28	157.12	167.20
Men	1897	158.31	154.62	161.93
Men	1897	166.75	161.50	171.98
Men	1897	167.57	164.14	170.98
Men	1897	165.55	160.96	170.28
Men	1897	160.65	155.37	166.06
Men	1897	162.90	160.35	165.50
Men	1897	168.47	163.97	173.10
Men	1897	167.50	162.18	172.99
Men	1897	160.91	156.50	165.23
Men	1897	161.55	154.73	168.25
Men	1897	165.31	161.50	169.13
Men	1897	159.89	157.16	162.55
Men	1897	162.37	159.61	165.11
Men	1897	157.05	152.61	161.39
Men	1897	161.60	154.85	168.46
Men	1897	161.89	155.41	168.54
Men	1897	163.29	157.86	168.65
Men	1897	172.00	169.72	174.22
Men	1897	167.66	165.33	169.91
Men	1897	159.42	153.03	165.90
Men	1897	161.44	158.78	163.99
Men	1897	161.56	154.43	168.78
Men	1897	160.90	155.92	165.90
Men	1897	158.56	155.99	161.14
Men	1897	153.18	148.61	157.95
Men	1897	162.86	157.86	167.88
Men	1897	168.17	163.51	172.79
Men	1897	170.47	165.82	175.00
Men	1897	164.08	159.06	168.98
Men	1897	164.17	160.66	167.67
Men	1897	160.50	157.67	163.27
Men	1897	161.87	156.16	167.70
Men	1897	165.40	161.59	169.16
Men	1897	162.31	156.93	167.79
Men	1897	167.79	161.23	174.35
Men	1897	159.48	153.10	165.73
Men	1897	167.00	165.34	168.70
Men	1897	171.18	170.07	172.29
Men	1897	163.95	159.71	168.09
Men	1897	161.27	155.61	167.43
Men	1897	163.62	158.90	168.31
Men	1897	160.12	155.15	165.05
Men	1897	155.43	152.81	158.02
Men	1897	154.71	150.65	158.94
Men	1897	162.32	157.19	167.62
Men	1897	164.86	159.54	170.17
Women	1897	149.32	144.33	154.35
Women	1897	150.41	145.74	155.37
Women	1897	152.00	147.36	156.61
Women	1897	158.29	156.22	160.45
Women	1897	152.53	146.36	158.78
Women	1897	152.71	146.26	159.50
Women	1897	150.80	144.68	157.06
Women	1897	150.74	146.38	154.93
Women	1897	149.78	144.37	155.28
Women	1897	155.63	153.81	157.41
Women	1897	157.67	155.23	160.00
Women	1897	150.09	144.79	155.46
Women	1897	150.75	144.71	157.10
Women	1897	149.80	145.94	153.73
Women	1897	141.65	137.86	145.44
Women	1897	152.25	148.59	155.91
Women	1897	154.15	147.94	160.46
Women	1897	155.55	153.76	157.33
Women	1897	146.37	142.08	150.60
Women	1897	153.28	148.50	158.12
Women	1897	150.71	144.43	156.84
Women	1897	147.10	142.75	151.46
Women	1897	143.36	138.40	148.52
Women	1897	154.09	149.79	158.38
Women	1897	156.15	151.09	161.21
Women	1897	150.28	148.22	152.37
Women	1897	145.85	139.92	151.95
Women	1897	152.41	146.31	158.45
Women	1897	156.27	151.26	161.38
Women	1897	151.25	146.15	156.40
Women	1897	154.74	149.72	159.62
Women	1897	146.35	141.75	150.95
Women	1897	153.91	150.43	157.38
Women	1897	157.69	155.17	160.25
Women	1897	152.21	146.94	157.37
Women	1897	156.81	151.78	161.86
Women	1897	147.73	144.90	150.64
Women	1897	150.27	148.87	151.70
Women	1897	146.22	143.88	148.51
Women	1897	144.22	139.85	148.56
Women	1897	150.64	145.61	155.58
Women	1897	152.62	148.76	156.31
Women	1897	156.31	151.91	160.69
Women	1897	142.98	139.58	146.43
Women	1897	153.63	148.71	158.45
Women	1897	150.36	146.66	154.09
Women	1897	149.44	145.88	152.92
Women	1897	152.16	146.58	157.63
Women	1897	152.98	149.48	156.45
Women	1897	157.28	154.32	160.31
Women	1897	151.90	145.72	158.45
Women	1897	153.01	148.34	157.89
Women	1897	149.10	144.28	153.86
Women	1897	151.12	146.23	155.85
Women	1897	143.17	138.12	148.32
Women	1897	148.90	145.71	152.00
Women	1897	141.42	137.33	145.63
Women	1897	152.72	146.18	159.40
Women	1897	152.23	147.56	157.05
Women	1897	156.64	153.58	159.70
Women	1897	152.27	147.50	157.10
Women	1897	153.65	149.49	157.71
Women	1897	154.10	151.66	156.57
Women	1897	155.43	152.56	158.32
Women	1897	156.45	152.09	160.92
Women	1897	153.03	147.93	158.28
Women	1897	155.63	150.50	160.68
Women	1897	153.78	148.64	159.20
Women	1897	156.14	153.72	158.49
Women	1897	153.41	149.45	157.33
Women	1897	150.69	147.67	153.68
Women	1897	147.18	143.47	150.89
Women	1897	154.00	149.21	158.93
Women	1897	140.47	136.13	144.90
Women	1897	153.73	148.64	158.62
Women	1897	152.82	147.55	157.87
Women	1897	148.84	143.78	153.89
Women	1897	149.92	145.15	154.89
Women	1897	143.72	139.57	147.99
Women	1897	153.45	151.27	155.63
Women	1897	158.73	155.67	161.87
Women	1897	148.03	146.50	149.61
Women	1897	144.78	142.37	147.23
Women	1897	148.67	145.80	151.54
Women	1897	149.82	143.65	156.05
Women	1897	154.07	150.78	157.33
Women	1897	152.09	149.12	155.03
Women	1897	153.56	152.07	155.05
Women	1897	152.46	148.10	156.73
Women	1897	142.56	141.75	143.36
Women	1897	150.34	146.23	154.52
Women	1897	151.29	146.13	156.75
Women	1897	156.00	151.38	160.92
Women	1897	151.98	149.95	154.03
Women	1897	150.40	146.10	154.73
Women	1897	150.34	145.00	155.74
Women	1897	144.80	139.96	149.65
Women	1897	155.69	151.47	160.12
Women	1897	149.74	145.58	153.90
Women	1897	153.17	147.93	158.50
Women	1897	151.71	146.57	156.93
Women	1897	150.32	145.73	154.99
Women	1897	154.27	150.94	157.52
Women	1897	154.98	150.82	159.05
Women	1897	149.79	144.80	154.90
Women	1897	149.79	144.86	154.76
Women	1897	151.52	146.70	156.58
Women	1897	147.63	144.90	150.47
Women	1897	143.98	139.03	148.67
Women	1897	156.17	151.23	161.18
Women	1897	150.26	146.49	154.03
Women	1897	148.87	144.61	153.03
Women	1897	155.06	149.74	160.20
Women	1897	148.21	145.13	151.26
Women	1897	143.68	140.74	146.60
Women	1897	152.60	148.23	156.91
Women	1897	152.43	147.63	157.23
Women	1897	148.04	142.94	153.49
Women	1897	152.37	146.21	158.40
Women	1897	150.91	145.94	155.78
Women	1897	150.98	145.90	156.05
Women	1897	145.72	141.55	149.87
Women	1897	156.91	152.19	161.69
Women	1897	151.93	149.57	154.19
Women	1897	144.27	140.71	147.84
Women	1897	155.07	153.19	156.93
Women	1897	156.04	153.87	158.29
Women	1897	146.28	142.20	150.40
Women	1897	156.38	151.40	161.33
Women	1897	153.21	149.50	156.91
Women	1897	152.24	148.39	156.00
Women	1897	149.25	142.85	155.70
Women	1897	159.34	158.64	160.04
Women	1897	151.01	146.52	155.38
Women	1897	146.95	142.83	151.00
Women	1897	150.72	148.00	153.41
Women	1897	152.15	147.61	156.64
Women	1897	144.70	140.08	149.35
Women	1897	150.06	145.80	154.47
Women	1897	149.33	142.99	155.55
Women	1897	141.67	137.93	145.56
Women	1897	147.97	143.81	152.11
Women	1897	150.78	147.87	153.52
Women	1897	150.58	147.17	153.96
Women	1897	147.51	143.96	151.00
Women	1897	150.57	145.81	155.17
Women	1897	151.28	147.01	155.57
Women	1897	153.75	151.89	155.58
Women	1897	152.39	147.29	157.54
Women	1897	152.93	147.71	158.07
Women	1897	153.86	148.96	158.91
Women	1897	150.75	144.20	157.19
Women	1897	157.31	154.70	159.80
Women	1897	152.98	148.08	157.67
Women	1897	149.25	145.73	152.97
Women	1897	157.04	152.17	162.04
Women	1897	152.23	149.18	155.32
Women	1897	155.54	151.25	159.75
Women	1897	152.52	147.55	157.62
Women	1897	147.23	144.33	150.13
Women	1897	155.77	151.69	159.80
Women	1897	152.73	147.33	158.18
Women	1897	148.60	144.00	153.25
Women	1897	151.88	145.55	158.34
Women	1897	155.00	151.56	158.30
Women	1897	142.43	140.05	144.87
Women	1897	151.19	148.83	153.46
Women	1897	145.37	141.00	149.64
Women	1897	151.87	145.59	158.25
Women	1897	150.68	144.44	156.94
Women	1897	152.97	147.73	158.16
Women	1897	160.37	158.39	162.37
Women	1897	157.63	154.98	160.31
Women	1897	149.75	143.56	155.84
